id_str,coor_lat,coor_long,coorpt,created,created_secs,geo_lat,geo_long,geo_type,bbox,bbox_type,bbox_lat1,bbox_long1,bbox_lat2,bbox_long2,bbox_full_name,bbox_city,bbox_state,bbox_name,bbox_place_type,timestamp_ms,user_geo_able,user_id,user_location
594092023864524800,None,None,None,Fri May 01 10:52:30 +0000 2015,1430495550.0,None,None,Point,"[[[-77.801973, 38.562521], [-77.801973, 38.595231], [-77.754043, 38.595231], [-77.754043, 38.562521]]]",Polygon,38.562521,-77.801973,38.595231,-77.754043,"Bealeton, VA",Bealeton,VA,Bealeton,city,1430477550842,True,2975409971,
594092024699183104,38.712124,-77.198054,Point,Fri May 01 10:52:31 +0000 2015,1430495551.0,38.712124,-77.198054,Point,"[[[-77.248713, 38.707371], [-77.248713, 38.75928], [-77.161399, 38.75928], [-77.161399, 38.707371]]]",Polygon,38.707371,-77.248713,38.75928,-77.161399,"Newington, VA",Newington,VA,Newington,city,1430477551041,True,2201337167,Lebanon-Washington D.C.
594092026221694976,None,None,None,Fri May 01 10:52:31 +0000 2015,1430495551.0,None,None,Point,"[[[-76.62797, 36.960216], [-76.62797, 37.220386], [-76.387647, 37.220386], [-76.387647, 36.960216]]]",Polygon,36.960216,-76.62797,37.220386,-76.387647,"Newport News, VA",Newport News,VA,Newport News,city,1430477551404,True,440308059, in the gym somewhere 
594092028062998528,39.315796,-76.639399,Point,Fri May 01 10:52:31 +0000 2015,1430495551.0,39.315796,-76.639399,Point,"[[[-76.711517, 39.197211], [-76.711517, 39.372215], [-76.529388, 39.372215], [-76.529388, 39.197211]]]",Polygon,39.197211,-76.711517,39.372215,-76.529388,"Baltimore, MD",Baltimore,MD,Baltimore,city,1430477551843,True,31571116,
594092031112273920,None,None,None,Fri May 01 10:52:32 +0000 2015,1430495552.0,None,None,Point,"[[[-76.22808, 36.672684], [-76.22808, 36.932399], [-75.9118121, 36.932399], [-75.9118121, 36.672684]]]",Polygon,36.672684,-76.22808,36.932399,-75.9118121,"Virginia Beach, VA",Virginia Beach,VA,Virginia Beach,city,1430477552570,True,2251286949,
594092036543934464,39.405888,-76.481242,Point,Fri May 01 10:52:33 +0000 2015,1430495553.0,39.405888,-76.481242,Point,"[[[-76.503771, 39.37832], [-76.503771, 39.436165], [-76.409521, 39.436165], [-76.409521, 39.37832]]]",Polygon,39.37832,-76.503771,39.436165,-76.409521,"Perry Hall, MD",Perry Hall,MD,Perry Hall,city,1430477553865,True,1528117512,
594092036216717312,None,None,None,Fri May 01 10:52:33 +0000 2015,1430495553.0,None,None,Point,"[[[-84.32187, 33.752879], [-84.32187, 36.588118], [-75.40012, 36.588118], [-75.40012, 33.752879]]]",Polygon,33.752879,-84.32187,36.588118,-75.40012,"North Carolina, USA",None,North Carolina,North Carolina,admin,1430477553787,True,218189692,"clayton, nc  "
594092034945851392,38.990243,-77.085164,Point,Fri May 01 10:52:33 +0000 2015,1430495553.0,38.990243,-77.085164,Point,"[[[-77.096707, 38.9735754], [-77.096707, 39.011638], [-77.052336, 39.011638], [-77.052336, 38.9735754]]]",Polygon,38.9735754,-77.096707,39.011638,-77.052336,"Chevy Chase, MD",Chevy Chase,MD,Chevy Chase,city,1430477553484,True,1321561304,Washington D.C.
594092040364945408,39.326567,-76.654696,Point,Fri May 01 10:52:34 +0000 2015,1430495554.0,39.326567,-76.654696,Point,"[[[-76.711517, 39.197211], [-76.711517, 39.372215], [-76.529388, 39.372215], [-76.529388, 39.197211]]]",Polygon,39.197211,-76.711517,39.372215,-76.529388,"Baltimore, MD",Baltimore,MD,Baltimore,city,1430477554776,True,2432396015,
594092042655014912,None,None,None,Fri May 01 10:52:35 +0000 2015,1430495555.0,None,None,Point,"[[[-76.930889, 38.94415], [-76.930889, 38.972339], [-76.891633, 38.972339], [-76.891633, 38.94415]]]",Polygon,38.94415,-76.930889,38.972339,-76.891633,"East Riverdale, MD",East Riverdale,MD,East Riverdale,city,1430477555322,True,592374148,
